Time,Author_name,Comment
2024-01-15 12:01:22,Cậu Bé Ngôn Lù,vc a này chiến ác
2024-01-15 12:01:23,Luxnq,hi
2024-01-15 12:01:24,Quân Trần Nguyên,Helo em chèeeee
2024-01-15 12:01:24,Xuan Lam,1 top 5 thoi
2024-01-15 12:01:24,Minh Sang,hí
2024-01-15 12:01:24,Ú oà,hi
2024-01-15 12:01:25,Kiên Nguyễn,Chào chè
2024-01-15 12:01:28,Đức Quang Nguyễn,helo chè
2024-01-15 12:01:29,Toàn Trần,hi
2024-01-15 12:01:29,Huy Phạm,cmt đầu
2024-01-15 12:01:30,Nguyen Ba Hoang Long,ĐAy r
2024-01-15 12:01:32,Trung Vu,ac ac ac ac ac
2024-01-15 12:01:32,Long Vũ,Vl content quỷ à
2024-01-15 12:01:32,Hưng Ẩn Danh,chào em choè
2024-01-15 12:01:33,Long Nguyễn,Conten điên à
2024-01-15 12:01:33,LinhLegendaryVN,ác vậy chè =)))
2024-01-15 12:01:34,trường hoàng,hello ní
2024-01-15 12:01:34,Nguyễn Việt Anh,là ghê nha
2024-01-15 12:01:34,Counter Mun,chè chào mình đi
2024-01-15 12:01:34,30 A13 Minh Tiến,Content quỷ
2024-01-15 12:01:34,Nguyễn Văn Việt Anh,Live đến chớt à anh
2024-01-15 12:01:35,Lộc Nguyễn Tiến,Hoặc đâu e chèee
2024-01-15 12:01:35,quyết nguyễn,ĐÂY RỒII
2024-01-15 12:01:36,Long Nguyễn Tiến,ac
2024-01-15 12:01:36,Nguyễn Hải,Hi
2024-01-15 12:01:36,Chiến Nguyễn Hữu,Đây r 5 top1 thì cook ha
2024-01-15 12:01:36,Huy Trần,quỷyyyyyyyyy
2024-01-15 12:01:36,Việt Anh Nguyễn,jo
2024-01-15 12:01:36,14. Phạm Thanh Lâm,đây r
2024-01-15 12:01:36,Akai,content ác v
2024-01-15 12:01:36,Đạt Trịnh,chào EM CHÈ
2024-01-15 12:01:37,Ngọc Đức Lê,5top1????
2024-01-15 12:01:38,hoàng thiện,Nả ní ác zị
2024-01-15 12:01:38,Lộc Lê,hello
2024-01-15 12:01:38,Đoàn Tùng,2
2024-01-15 12:01:39,Kim Lò,vcl content ác
2024-01-15 12:01:39,Cati Mart,ghê:))
2024-01-15 12:01:39,Pla Pla,hello em chè
2024-01-15 12:01:40,Ny minh thư,Hello e chè
2024-01-15 12:01:40,13- Hồ Quang Hiển,đây ròi content tôi yêu
2024-01-15 12:01:41,Hắc Phong Sát,hello
2024-01-15 12:01:41,Taloo Nguyen,dài hơi đây r
2024-01-15 12:01:41,Nguyễn Duy Mạnh (Mèo),hí e chè 
2024-01-15 12:01:41,Hoài Đông Lê,ác zậy
2024-01-15 12:01:41,Emdii,a này nay chỉens z
2024-01-15 12:01:42,hiếu hiếu,vl live đến mai à
2024-01-15 12:01:42,minh lê,Chắc tới mốt
2024-01-15 12:01:42,Sỹ Tiến Trần,Content quỷ
2024-01-15 12:01:42,Văn Thanh,hello e chè
2024-01-15 12:01:43,vịt,ác v
2024-01-15 12:01:44,Thế Minh,liệu là 1 live dài
2024-01-15 12:01:45,Lê Minh Huy,cái content này khá
2024-01-15 12:01:45,Thanh Hào,GOAT TFT
2024-01-15 12:01:46,Quân Trần,ghê
